"Time","C1_39.05nM","C2_78.12nM","C3_156.2nM","C4_312.5nM","C5_625nM","C6_1250nM","C7_2500nM","C8_5000nM"
-43.96,-0.0840149,-0.0984802,-0.1073,-0.0602112,-0.0596313,-0.139466,-0.11145,-0.0992432
-43.86,-0.1008,-0.103545,-0.112366,-0.0602104,-0.0596313,-0.139465,-0.11377,-0.0972893
-43.76,-0.0937798,-0.110992,-0.105347,-0.0676575,-0.0670776,-0.152343,-0.116516,-0.107056
-43.66,-0.0937805,-0.106659,-0.105347,-0.063324,-0.069397,-0.147278,-0.104797,-0.105469
-43.56,-0.0968933,-0.114105,-0.118225,-0.0610042,-0.0670776,-0.150391,-0.114563,-0.112915
-43.46,-0.0984802,-0.115692,-0.129578,-0.0625916,-0.0838623,-0.166442,-0.114563,-0.109802
-43.36,-0.0984802,-0.121125,-0.119812,-0.0582588,-0.0838623,-0.163696,-0.104797,-0.100037
-43.26,-0.103912,-0.125824,-0.115479,-0.0629578,-0.0721436,-0.159363,-0.100098,-0.102356
-43.16,-0.10318,-0.132477,-0.119812,-0.0528259,-0.0787964,-0.15863,-0.0899658,-0.0922241
-43.06,-0.1008,-0.116426,-0.110414,-0.0535598,-0.0627441,-0.159363,-0.0852675,-0.0761733
-42.96,-0.0871277,-0.118805,-0.0983276,-0.0414734,-0.0604248,-0.145324,-0.0786133,-0.0738525
-42.86,-0.0934143,-0.122712,-0.105347,-0.0461736,-0.0475464,-0.137146,-0.0802002,-0.0656743
-42.76,-0.0812687,-0.118011,-0.0908813,-0.0387268,-0.0428467,-0.137879,-0.0657349,-0.0664063
-42.66,-0.0754089,-0.13089,-0.0983276,-0.0461731,-0.0526123,-0.140259,-0.0657349,-0.0640869
-42.56,-0.0848083,-0.123871,-0.0955811,-0.0531921,-0.0557251,-0.137512,-0.0688477,-0.0492554
-42.46,-0.0836487,-0.130524,-0.106934,-0.059845,-0.057312,-0.147277,-0.0751343,-0.0629272
-42.36,-0.0793152,-0.130524,-0.1026,-0.0531929,-0.057312,-0.142212,-0.0657349,-0.0496223
-42.26,-0.0793156,-0.12619,-0.1026,-0.0602112,-0.0596313,-0.149231,-0.0641479,-0.039856
-42.16,-0.0769958,-0.123871,-0.0983276,-0.0563049,-0.0557251,-0.152344,-0.0762939,-0.0375366
-42.06,-0.082428,-0.123872,-0.10376,-0.04654,-0.0557251,-0.152344,-0.0688484,-0.030091
-41.96,-0.0750427,-0.114105,-0.0963745,-0.04422,-0.0487061,-0.14026,-0.0665283,-0.0180054
-41.86,-0.0742493,-0.130522,-0.112,-0.0547777,-0.0620117,-0.149231,-0.0755005,-0.0269762
-41.76,-0.0887139,-0.137543,-0.110413,-0.0602112,-0.0740967,-0.158996,-0.0852661,-0.0414429
-41.66,-0.0957336,-0.137543,-0.115112,-0.0649109,-0.0643311,-0.147278,-0.0755005,-0.0339966
-41.56,-0.0906677,-0.144196,-0.115112,-0.0629578,-0.0709839,-0.153931,-0.0821534,-0.0269776
-41.46,-0.0793152,-0.132843,-0.110046,-0.0629578,-0.0565186,-0.149231,-0.0708008,-0.0269775
-41.36,-0.0887146,-0.142242,-0.117065,-0.0578918,-0.0498657,-0.147278,-0.0802002,-0.0316772
-41.26,-0.0890801,-0.142609,-0.112,-0.0582581,-0.0545654,-0.158996,-0.0872192,-0.0300903
-41.16,-0.0840149,-0.142609,-0.117432,-0.0629578,-0.0545654,-0.144531,-0.0758667,-0.03479
-41.06,-0.0937805,-0.140289,-0.119812,-0.0629573,-0.0643311,-0.150391,-0.0782467,-0.0347896
-40.96,-0.0937805,-0.157074,-0.136597,-0.0676575,-0.0623779,-0.156676,-0.0919189,-0.0445557
-40.86,-0.0840149,-0.14731,-0.122131,-0.0699782,-0.0623779,-0.149231,-0.0774536,-0.0300918
-40.76,-0.0773636,-0.147308,-0.119812,-0.0676575,-0.0623779,-0.139467,-0.0805664,-0.027771
-40.66,-0.0965271,-0.148468,-0.126831,-0.0875549,-0.0654907,-0.152344,-0.0899658,-0.03479
-40.56,-0.0906677,-0.154755,-0.126832,-0.0840764,-0.0717773,-0.144165,-0.0938725,-0.0363774
-40.46,-0.0957336,-0.152374,-0.131897,-0.0914612,-0.069397,-0.14923,-0.0856323,-0.0371094
-40.36,-0.0890808,-0.145356,-0.117859,-0.0746776,-0.0623779,-0.142578,-0.083313,-0.0347911
-40.26,-0.0988454,-0.145355,-0.133057,-0.0828552,-0.0623779,-0.152343,-0.083313,-0.03479
-40.16,-0.0996399,-0.13559,-0.125671,-0.07547,-0.0654907,-0.145325,-0.0864258,-0.03479
-40.06,-0.108246,-0.147307,-0.141295,-0.081328,-0.0690308,-0.146912,-0.0946642,-0.0367419
-39.96,-0.0890808,-0.132843,-0.136597,-0.0750427,-0.0643311,-0.14453,-0.0922852,-0.0367432
-39.86,-0.0769958,-0.130525,-0.139709,-0.0657054,-0.0576782,-0.140625,-0.0883789,-0.0367442
-39.76,-0.0742503,-0.140656,-0.134644,-0.0774231,-0.0526123,-0.13556,-0.0880127,-0.0269775
-39.66,-0.0809021,-0.142242,-0.149109,-0.0813293,-0.0639648,-0.137146,-0.101685,-0.0367432
